UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
BadHaikusForPolitics,@ErfalU,2021-10-03T07:52:51.000Z,"BadHaikusForPolitics
@ErfalU
·
3 oct.","Et moi je veux que tous les connards qui, le cul vissé sur leur fauteuil de député, de ministre ou de président de région, font l'éloge du travail soient condamnés à passer 25 ans à vider du poisson, servir au restau ou conduire un cametard 70h par semaine.
BFMTV
@BFMTV
 · 2 oct.
EN DIRECT -  Bertrand veut ""une société du travail"" 
https://bfmtv.com/politique/elections/presidentielle/en-direct-mesure-a-15-dans-un-sondage-eric-zemmour-renforce-sa-menace-sur-la-droite_LN-202110020034.html…
19
903
3,8 k",,19,903,"3,8 k","['https://pbs.twimg.com/profile_images/1165822715732930565/uz3J1eOl_mini.jpg', 'https://pbs.twimg.com/media/FAsJDE2WQAAk6bp?format=jpg&name=small']",https://twitter.com/ErfalU/status/1444571133978816512
phae (commi open!!),@hephaestine,2021-10-03T19:40:14.000Z,"phae (commi open!!)
@hephaestine
·
3 oct.","#vyzTOBER jour 3 : signe astro
j’ai fait poisson car je suis poisson
1
15
74",,1,15,74,['https://pbs.twimg.com/media/FAzHsU6X0Aw4MNi?format=jpg&name=small'],https://twitter.com/hephaestine/status/1444749149677789184
Yiré Sephora Zeliroud,@s_zeliroud,2021-10-03T22:16:11.000Z,"Yiré Sephora Zeliroud
@s_zeliroud
·
4 oct.","La partie noire dans le poisson de garba, je peux me battre pour ça ! C’est tellement bon 
14
122
219",❤,14,122,219,[],https://twitter.com/s_zeliroud/status/1444788397504094213
Dany Caulleau,@DanyCaulleau,2021-10-03T08:57:05.000Z,"Dany Caulleau
@DanyCaulleau
·
3 oct.","Poisson rouge ...
1
23",,,1,23,['https://pbs.twimg.com/media/FAw0Z_qWYAYn0iR?format=jpg&name=small'],https://twitter.com/DanyCaulleau/status/1444587299359100928
#nadazdravic,@nadazdravic,2021-10-03T03:12:30.000Z,"#nadazdravic
@nadazdravic
·
3 oct.","Un petit poisson très occupé 
via 
@mdTG3GjuY4YY3No
はらめがね
@mdTG3GjuY4YY3No
 · 27 sept.
ワシが作ったタマゴンじゃ
#イラスト
#みんなで楽しむTwitter展覧会
#現代作家の環
1
6",,,1,6,"['https://pbs.twimg.com/media/FAvln23WYAgJ2pA?format=jpg&name=small', 'https://pbs.twimg.com/profile_images/1390926786838425601/yFKKMMZh_mini.jpg', 'https://pbs.twimg.com/media/FASnJ2nVQAgwFYl?format=jpg&name=240x240']",https://twitter.com/nadazdravic/status/1444500581251432449
Oh!세안 || D-60 VRVR US TOUR,@ykminou,2021-10-03T22:47:36.000Z,"Oh!세안 || D-60 VRVR US TOUR
@ykminou
·
4 oct.","À VERIVERY, 

Je m'en souviens. De ce jour où vous êtes tous entrés dans ma vie. C'était qu'une simple photo d'un ballon dirigeable en forme de poisson avec 7 petits hublots. Je savais même pas encore à ce moment que derniers ces petits hublots se cachait un trésor: VERIVERY.
2
1
19",💜 🤍 🌎 🌎,2,1,19,['https://pbs.twimg.com/media/FAzylGVXEAUbJ2g?format=jpg&name=small'],https://twitter.com/ykminou/status/1444796304668991489
tokyo et disney ou kyoto et USJ ?,@japonenfamille1,2021-10-03T09:36:14.000Z,"tokyo et disney ou kyoto et USJ ?
@japonenfamille1
·
3 oct.","Version adulte et version enfant pour ceux qui n'aiment pas le poisson cru #chirashi #repas
10",,,,10,"['https://pbs.twimg.com/media/FAw9chWWEAEQtoF?format=jpg&name=small', 'https://pbs.twimg.com/media/FAw9c4PXIAQtcjI?format=jpg&name=small']",https://twitter.com/japonenfamille1/status/1444597149254160386
Kamel Z.,@Ze_Kam_,2021-10-03T02:51:03.000Z,"Kamel Z.
@Ze_Kam_
·
3 oct.","Le plus gros inconvénient en Floride c’est qu’on n’a pas vraiment le choix des restaurants.. SeaFood everyday  !!!
J’ai mangé du poisson pour 1 an 

Sa tante, je rêve d’une mix grillade, d’un poulet olive ou même d’un tacos !!! 
14
2
35",🐟 😩 😭,14,2,35,['https://pbs.twimg.com/media/FAvgsjrXIAMMn61?format=jpg&name=small'],https://twitter.com/Ze_Kam_/status/1444495180988657664
Benjoy,@LeBenjoy,2021-10-03T21:00:28.000Z,"Benjoy
@LeBenjoy
·
3 oct.","Poisson et grenouille DIFF
Črįs
@Cris_0w
 · 3 oct.
Won the ow tournament of @switzerlanCH
With 
@R3M1XOW  
@SirGibson_ow 
@Vazer_OW 
@MisterFishOW 
@Hell_OW69 

Was fun GGs
1
7",,1,,7,"['https://pbs.twimg.com/profile_images/1422579402412642309/XQuI7opw_mini.jpg', 'https://pbs.twimg.com/media/FAxWTgwXIAAQK5j?format=jpg&name=small']",https://twitter.com/LeBenjoy/status/1444769344744050700
Valinor,@Valinoreh,2021-10-03T09:13:59.000Z,"Valinor
@Valinoreh
·
3 oct.","Contrôle surprise : montrez vos derniers tattoo ici
14
3
22",,14,3,22,"['https://pbs.twimg.com/media/FAw4WkKXMAMI5RK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FAw4W6CWUAA5R8o?format=jpg&name=360x360']",https://twitter.com/Valinoreh/status/1444591549459877888
