UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
T^_^T,@pkjtna,2021-04-10T11:44:32.000Z,"T^_^T
@pkjtna
·
10 avr.","moi semblant d’être déguisé en poisson pour que jin m’attrape aussi https://twitter.com/adafruit/status/1169799736943140869/video/1…
18
149
783",,18,149,783,[],https://twitter.com/pkjtna/status/1380849171310256133
Padre_Pio,@Padre_Pio,2021-04-11T10:01:42.000Z,"Padre_Pio
@Padre_Pio
·
11 avr.","C'est plus un poisson d'avril ?
La Voix du Nord
@lavoixdunord
 · 11 avr.
Restaurant clandestin: Pierre-Jean #Chalençon plaide la «réunion professionnelle de fin de journée» https://lavoixdunord.fr/980298/article/2021-04-11/restaurant-clandestin-pierre-jean-chalencon-plaide-la-reunion-professionnelle-de?utm_medium=Social&utm_source=Twitter#Echobox=1618134203…
120
2,9 k
14,5 k",,120,"2,9 k","14,5 k","['https://pbs.twimg.com/profile_images/1326892376544210946/78JLx62f_mini.jpg', 'https://pbs.twimg.com/media/Eyr0gMnWQAQFC5L?format=jpg&name=small']",https://twitter.com/Padre_Pio/status/1381185681066754049
Salomée Ebibi,@EbibiGlass,2021-04-12T07:08:53.000Z,"Salomée Ebibi
@EbibiGlass
·
12 avr.","c'est plus un poisson d'avril?
La Voix du Nord
@lavoixdunord
 · 11 avr.
Restaurant clandestin: Pierre-Jean #Chalençon plaide la «réunion professionnelle de fin de journée» https://lavoixdunord.fr/980298/article/2021-04-11/restaurant-clandestin-pierre-jean-chalencon-plaide-la-reunion-professionnelle-de?utm_medium=Social&utm_source=Twitter#Echobox=1618134203…
9
156
1,5 k",,9,156,"1,5 k","['https://pbs.twimg.com/profile_images/1326892376544210946/78JLx62f_mini.jpg', 'https://pbs.twimg.com/media/Eyr0gMnWQAQFC5L?format=jpg&name=small']",https://twitter.com/EbibiGlass/status/1381504578013822976
احمت,@Ahmooo69,2021-04-13T17:31:03.000Z,"احمت
@Ahmooo69
·
13 avr.","Mon poisson quand il sort du bocal  https://twitter.com/Furyoz_/status/1381309911477411840/video/1…
2
31",,,2,31,[],https://twitter.com/Ahmooo69/status/1382023539415511040
Morganoast,@_Ykse_,2021-04-14T21:10:07.000Z,"Morganoast
@_Ykse_
·
14 avr.","""Y'avait zéro poisson""
Mohammed :
#TopChef
1
25
441",,1,25,441,['https://pbs.twimg.com/media/Ey9q0HCWYAgUaKh?format=jpg&name=small'],https://twitter.com/_Ykse_/status/1382441059486027776
ÉPINGLÉ svp,@chuupies,2021-04-15T21:19:40.000Z,"ÉPINGLÉ svp
@chuupies
·
15 avr.","les fans de banana fish qd le poisson mange une banane ou jsp jai pas vu le film
2
8
29",‼ 😁,2,8,29,['https://pbs.twimg.com/ext_tw_video_thumb/1382805408407040000/pu/img/ss-rMNxcf2RJ2_76.jpg'],https://twitter.com/chuupies/status/1382805848213368833
𝐷𝑎𝑛𝑔𝑒𝑟𝑜𝑢𝑠,@oceane2404,2021-04-16T21:46:10.000Z,"𝐷𝑎𝑛𝑔𝑒𝑟𝑜𝑢𝑠
@oceane2404
·
16 avr.","PTDRRRR la semaine prochaine nous allons voir un génocide de poisson  
 #KohLanta
4
201
2,8 k",✨ ✨ 😭,4,201,"2,8 k",['https://pbs.twimg.com/media/EzIGPQQWQAQG4Mc?format=jpg&name=small'],https://twitter.com/oceane2404/status/1383174906389614592
Brrahh,@Brrahh21,2021-04-17T17:16:41.000Z,"Brrahh
@Brrahh21
·
17 avr.","Donc je jeûne pour manger du poisson au iftar..
15
34
310",,15,34,310,['https://pbs.twimg.com/media/EzMSJzkVoA4ATDk?format=jpg&name=small'],https://twitter.com/Brrahh21/status/1383469476268548105
SORO ELIEZER,@EliezerSoro,2021-04-18T13:27:56.000Z,"SORO ELIEZER
@EliezerSoro
·
18 avr.","Je me tiens disponible pour vous fournir du poisson thon de qualité.
14
58
214",,14,58,214,['https://pbs.twimg.com/media/EzQnYf8VUAEfvgV?format=jpg&name=small'],https://twitter.com/EliezerSoro/status/1383774296791654402
BeFoot,@_BeFoot,2021-04-19T17:33:05.000Z,"BeFoot
@_BeFoot
·
19 avr.","Florentino Perez sur El Chiringuito ce soir : ""C'est le plus gros poisson d'avril de ces dix ou quinze dernières années.""
10
195
1 k",,10,195,1 k,['https://pbs.twimg.com/media/EzWowTqVIAEAL9F?format=jpg&name=small'],https://twitter.com/_BeFoot/status/1384198381220679699
