UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Oulfa Gaston,@GastonOulfa,2021-10-13T15:47:43.000Z,"Oulfa Gaston
@GastonOulfa
·
13 oct.","Mon ex m’a quitté pour soit disant ses études, si c’est le cas je le souhaite tt le bonheur du monde mais s’il a trouvé ça comme excuse pour aller voir d’autres meufs inshalah il redouble jusqu’à ce qu’il aille vendre du poisson au remblé
39
151
780",,39,151,780,[],https://twitter.com/GastonOulfa/status/1448314515356008450
SPA Mulhouse Haute - Alsace,@spamulhouse68,2021-10-13T16:09:41.000Z,"SPA Mulhouse Haute - Alsace
@spamulhouse68
·
13 oct.","News de nos adoptés : ""Nino, s’est très bien acclimaté, il est comme un poisson dans l'eau, merci à vous, c'est un bonheur.""
2
23
72",,2,23,72,['https://pbs.twimg.com/media/FBl3ZZNWQAoRLOu?format=jpg&name=medium'],https://twitter.com/spamulhouse68/status/1448320042274336772
Jean-Frédéric Poisson,@jfpoisson78,2021-10-13T17:35:24.000Z,"Jean-Frédéric Poisson
@jfpoisson78
·
13 oct.","J’avais appelé de mes vœux le rejet de la proposition de loi sur l’obligation vaccinale. Les sénateurs l’ont fait. Merci ! #Senat #NonAuVaccinObligatoire
publicsenat.fr
Covid-19 : le Sénat rejette la proposition de loi sur l’obligation
Le vaccin contre le covid-19 ne rejoindra pas la liste des vaccinations obligatoires dans le Code de la santé publique. Les sénateurs n’ont pas adopté ce 13 octobre la proposition de loi déposée par
34
197
611",,34,197,611,['https://pbs.twimg.com/card_img/1448332473042079748/mu9sjXp9?format=jpg&name=small'],https://twitter.com/jfpoisson78/status/1448341613529419779
axeellemb,@NotoriousAMB_,2021-10-13T10:12:38.000Z,"axeellemb
@NotoriousAMB_
·
13 oct.","Meilleur poisson braisé c'est celui du Cameroun, je ne veux rien savoir
JELANI
@Willis01387352
 · 24 mai
7- Poisson Braisé (Sud, Littoral, Sud-Ouest)
Afficher cette discussion
3
43
63",,3,43,63,"['https://pbs.twimg.com/profile_images/1449118911111254021/fPo2-6G-_mini.jpg', 'https://pbs.twimg.com/media/E2LJTpTWQAQmKM8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2LJTs8XMAIMUXw?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2LJTlPXMAc2jPl?format=jpg&name=360x360']",https://twitter.com/NotoriousAMB_/status/1448230190774165505
Brane,@Branech,2021-10-13T08:46:39.000Z,"Brane
@Branech
·
13 oct.","Comme les citoyens  ont une mémoire de poisson rouge, voici un petit rappel :
1
8
16",,1,8,16,['https://pbs.twimg.com/media/FBkR4SLXIAEU_-G?format=png&name=small'],https://twitter.com/Branech/status/1448208548471652354
Patrice Gravoin nº 35072,@PGravoin,2021-10-14T22:46:33.000Z,"Patrice Gravoin nº 35072
@PGravoin
·
15 oct.","#Marseille, 13 octobre 2021
Nana, 91 ans.
Une figure de Marseille, elle vend du poisson à la criée sur le Vieux-Port depuis l'Age de 9 ans
1
13
46",,1,13,46,['https://pbs.twimg.com/media/FBsb06hWUAcCsu_?format=jpg&name=small'],https://twitter.com/PGravoin/status/1448782307037523975
Easy Kitchen,@BiioSamira,2021-10-14T14:22:48.000Z,"Easy Kitchen
@BiioSamira
·
14 oct.","welcome fish meat tagine 
Tajine de viande de poisson bienvenu 
1
12",🦐 🦐 🦐 🦐 🌊 🌊 👍 👍 👍 👍 👍 👍 👍 👍 👍 👍,,1,12,['https://pbs.twimg.com/media/FBqohKwVQAAAHby?format=jpg&name=small'],https://twitter.com/BiioSamira/status/1448655533569761292
David Dobsky,@dobsky33,2021-10-14T14:57:55.000Z,"David Dobsky
@dobsky33
·
14 oct.","Elle a la mémoire d'un poisson rouge, Roselyne non ?
BFMTV
@BFMTV
 · 14 oct.
1:19
""Il fait pas rêver, monsieur Zemmour""

Pour Roselyne Bachelot, Eric Zemmour représente ""cette droite qui existait du temps de la cagoule ou des croix-de-feu""
3
21
37",,3,21,37,"['https://pbs.twimg.com/media/FBqwjDCUUBQP9WF?format=png&name=small', 'https://pbs.twimg.com/profile_images/1165822715732930565/uz3J1eOl_mini.jpg', 'https://pbs.twimg.com/media/FBpe0kmWUAEdU-I?format=jpg&name=240x240']",https://twitter.com/dobsky33/status/1448664369483501584
+33,@4tngi,2021-10-14T15:37:07.000Z,"+33
@4tngi
·
14 oct.","Continuer la fac ou partir à l’autre bout du monde pêcher du poisson
10
24",,,10,24,[],https://twitter.com/4tngi/status/1448674236604764160
GK,@KadimaLex,2021-10-14T11:09:09.000Z,"GK
@KadimaLex
·
14 oct.","Je veux savoir hein tangu balobaka ""Petit Poisson Deviendra Grand"" na Ndakala pe aza inclu? 
Bonne journée 
6
7
22",🚶 🚶 🚶 🚶,6,7,22,[],https://twitter.com/KadimaLex/status/1448606800518041602
